lat,temp,humidity,cloudiness,wind
-35.85,95.67,8,0,12.08
-23.12,76.96,76,74,20.18
-28.77,66.2,68,33,6.93
-34.42,66.0,91,0,2.59
-9.8,80.85,74,27,12.66
-16.48,81.93,78,76,10.54
-42.88,60.31,93,90,9.17
-33.59,71.01,82,0,5.99
-2.02,84.04,73,93,9.55
-35.33,67.17,57,0,12.82
-33.65,59.14,56,94,9.64
-31.95,59.0,100,90,14.99
-23.68,74.19,46,98,1.14
-8.93,67.23,93,100,2.57
-33.93,65.68,88,3,8.05
-20.41,78.89,100,40,5.57
-21.2,82.4,74,40,8.05
-33.52,74.03,62,0,11.74
-54.8,57.2,71,40,4.5
-46.6,55.99,72,0,3.0
-33.7,74.03,62,0,11.74
-34.0,72.34,65,93,5.99
-30.18,72.86,72,34,14.99
-33.02,77.25,85,0,11.16
-29.13,93.99,23,0,7.27
-22.12,68.0,90,41,5.01
-18.48,76.01,60,37,14.99
-15.77,77.0,88,90,8.05
-8.84,80.6,74,0,8.05
-34.53,67.12,77,0,5.82
-42.78,60.24,93,90,9.17
-6.64,79.0,95,92,2.15
-0.9,78.8,94,75,4.7
-22.97,75.2,88,75,12.75
-8.76,84.24,75,0,13.44
-22.56,70.36,64,92,4.7
-20.52,78.89,100,40,5.57
-21.21,84.2,79,0,5.82
-46.19,55.99,72,0,3.0
-34.57,67.03,100,90,12.75
-26.98,60.49,61,0,3.36
-20.23,81.45,78,23,17.56
-38.0,68.41,94,75,13.87
-15.33,61.9,97,100,6.35
-53.15,62.31,63,75,21.92
-2.57,84.04,65,100,5.37
-8.01,86.0,74,40,8.05
-29.68,82.4,48,20,6.93
-26.65,69.8,83,0,13.87
-4.06,73.78,99,100,4.07
-3.67,83.71,73,76,7.36
-5.12,83.44,71,100,15.39
-21.36,75.78,100,90,4.7
-9.01,84.24,75,0,13.44
-24.79,70.45,63,0,0.51
-7.61,69.15,97,1,0.69
-0.6,82.81,77,100,15.82
-21.64,73.4,94,90,9.17
-2.65,79.43,90,100,6.58
-41.87,71.6,60,0,8.05
-17.57,76.33,80,7,5.44
-5.55,77.27,88,84,0.78
-13.88,86.0,79,75,12.26
-13.7,72.73,30,40,16.11
-19.67,66.34,87,0,7.54
-16.5,60.8,38,40,13.87
-20.34,78.89,100,40,10.38
-23.7,62.6,100,0,4.7
-10.62,78.66,87,91,2.77
-20.02,79.93,94,48,3.36
-6.28,75.09,95,100,1.79
-5.2,84.2,70,40,10.29
-23.13,77.0,94,40,6.93
-5.67,83.84,79,100,11.32
-22.22,70.88,61,0,14.0
-12.58,78.26,79,28,2.55
-2.92,77.36,91,38,4.72
-8.16,91.06,50,84,3.56
-0.74,81.64,78,75,6.93
-16.7,82.0,74,100,9.31
-6.88,74.39,95,97,9.04
-23.35,70.79,95,71,6.8
-9.2,70.48,95,98,1.86
-4.88,74.5,98,100,3.71
-11.1,80.22,59,81,10.0
-31.54,99.55,16,0,8.86
-37.62,69.62,50,6,14.12
-33.92,73.4,69,57,16.11
-8.14,82.31,80,100,4.14
-35.17,66.99,100,95,6.55
-24.87,77.0,100,40,10.29
-33.01,66.2,88,0,10.29
-18.15,68.63,87,6,2.89
-20.01,78.91,100,40,6.89
-38.27,61.3,91,100,11.99
-3.8,72.88,83,100,3.02
-12.07,83.68,82,97,12.37
-20.33,76.57,94,75,9.17
-29.95,64.4,77,90,10.29
-29.47,71.6,78,90,18.34
-34.73,60.53,77,100,12.53
-8.47,77.86,95,100,4.07
-33.87,59.0,77,0,12.75
-9.17,83.32,70,82,3.22
-15.2,73.74,84,0,15.79
-21.15,78.26,94,75,10.29
-34.62,93.72,19,0,18.23
-17.8,91.4,49,20,9.17
-3.2,77.5,97,98,4.41
-7.12,73.4,100,75,2.24
-23.22,71.6,73,75,2.24
-18.06,67.69,62,50,3.31
-10.17,73.4,100,20,0.4
-43.53,59.4,54,0,9.17
-5.48,52.23,99,100,1.7
-22.43,76.03,93,100,14.94
-19.55,84.2,79,20,10.94
-25.17,71.04,78,35,17.6
-5.92,83.26,74,40,8.05
-9.07,77.95,86,83,1.5
-17.71,81.75,82,0,17.54
-35.35,69.87,100,90,10.29
-34.68,70.18,100,90,10.29
-0.41,82.89,94,100,1.43
-9.66,67.53,87,100,3.31
-17.73,87.48,66,75,5.82
-15.86,82.4,74,40,12.75
-45.87,87.8,31,0,10.29
-28.78,75.99,74,0,20.62
-46.28,49.08,75,0,6.04
-35.66,98.37,12,0,11.99
-46.13,57.0,68,0,3.0
-45.42,43.84,78,0,2.46
-26.82,89.6,59,20,2.24
-22.28,78.85,74,75,4.7
-28.87,73.74,94,75,3.36
-24.83,73.98,39,1,11.1
-37.83,60.8,93,90,10.29
-0.95,68.36,96,100,1.86
-6.84,66.2,29,0,17.22
-36.31,81.52,45,0,14.99
-28.93,73.54,71,100,8.08
-22.67,79.32,76,11,8.61
-29.66,69.21,56,0,6.93
