city,lat,temp,humidity,clouds,wind
Escaldes-Engordany,42.51,38.48,36,40,5.82
Andorra la Vella,42.5,38.46,36,40,5.82
Umm al Qaywayn,25.5,69.69,77,0,3.36
Ras al-Khaimah,25.77,68.22,77,0,3.36
Dubai,25.26,71.29,73,0,10.29
Dibba Al-Fujairah,25.59,68.59,77,0,3.36
Dibba Al-Hisn,25.61,68.58,77,0,3.36
Sharjah city,25.36,70.14,73,0,6.93
Ar Ruways,24.11,67.12,74,0,17.22
Fujairah,25.12,69.78,83,0,1.12
Al Ain,24.19,71.6,53,0,6.93
Ajman,25.41,70.07,73,0,6.93
Adh Dhayd,25.29,70.47,77,0,3.36
Abu Dhabi,24.47,72.39,83,0,8.05
Zaranj,30.97,69.8,30,40,9.17
Taloqan,36.74,49.78,55,0,0.4
Shahrak,34.11,26.8,57,24,5.26
Sar-e Pul,35.83,51.58,33,64,6.13
Rustaq,23.39,76.37,39,0,0.94
Maymana,35.92,57.18,34,83,5.66
Kushk,33.3,57.07,37,26,11.18
Kunduz Province,36.75,55.69,53,0,0.78
Khōst,35.21,40.39,51,0,7.87
Khulm,36.7,60.39,51,20,3.36
Khāsh,28.22,60.04,43,0,8.59
Khanabad,36.68,55.69,53,0,0.78
Karukh,34.48,60.8,41,75,3.36
Kabul,34.5,45.45,70,0,3.36
Jabal Saraj,35.12,45.66,81,1,4.16
Herat Province,34.5,60.8,41,75,3.36
Ghormach,35.73,44.6,45,65,3.94
Ghazni,33.55,36.23,47,0,1.61
Gereshk,31.82,62.85,27,0,11.61
Fayzabad,37.12,41.5,40,0,4.94
Farah,32.5,63.84,30,26,4.56
Kafir Qala,34.67,57.79,42,63,1.14
Charikar,35.01,45.64,81,1,4.16
Balkh,36.75,58.68,58,50,4.7
Asadābād,34.78,35.6,69,75,4.7
The Valley,18.22,83.17,57,20,12.75
Sarandë,39.88,56.68,82,75,11.41
Kukës,42.08,38.57,81,82,10.22
Korçë,40.62,51.8,62,40,10.29
Gjirokastër,40.08,56.66,82,75,11.41
Elbasan,41.11,52.68,62,40,10.29
Burrel,41.61,53.6,87,30,4.7
Vlorë,40.47,58.17,73,2,20.29
Tirana,41.33,53.6,87,30,4.7
Shkodër,42.07,55.4,93,40,6.93
Patos Fshat,40.64,58.17,73,2,20.29
Lushnja,40.94,53.6,87,28,4.7
Lezhë,41.78,53.6,87,31,4.7
Laç,41.69,53.6,87,30,4.7
Kuçovë,40.8,54.45,72,1,4.41
Krujë,41.51,53.6,87,30,4.7
Kavajë,41.19,53.6,87,28,4.7
Fier,40.72,58.17,73,2,20.29
Durrës,41.32,53.6,87,5,4.7
Berat,40.71,50.38,84,0,13.69
Kapan,39.21,32.65,83,83,1.43
Gori,41.98,40.28,76,29,7.81
Artashat,39.96,46.4,54,40,1.57
Ararat,39.83,46.4,54,40,1.57
Yerevan,40.18,46.4,54,40,1.57
Vagharshapat,40.17,46.4,54,40,1.57
Spitak,40.83,37.4,69,75,0.74
Sevan,40.55,46.4,90,40,2.04
Masis,40.07,46.4,54,40,1.57
Vanadzor,40.8,37.4,69,75,0.74
Gavarr,40.35,46.4,90,40,2.04
Hrazdan,40.5,46.4,90,40,2.04
Armavir,44.99,40.64,70,0,10.47
Gyumri,40.79,35.04,69,75,1.05
Ashtarak,40.3,43.38,88,40,4.05
Abovyan,40.27,46.4,88,40,4.05
Saurimo,-9.66,69.03,91,68,2.98
Lucapa,-8.42,70.83,91,99,2.24
Luau,-10.71,66.92,94,57,1.92
Uíge,-7.61,71.49,94,36,3.31
Soyo,-6.13,84.2,79,20,6.93
Ambrizette,-7.23,77.47,90,8,3.96
Mbanza Kongo,-6.27,78.17,81,25,3.85
Malanje,-9.54,68.94,93,84,5.73
Luanda,-8.84,82.4,74,40,8.05
Caxito,-8.58,82.4,74,40,8.05
Cabinda,-5.55,84.2,79,20,6.93
Sumbe,-11.21,79.88,77,18,4.36
Mossamedes,-15.2,76.15,77,0,21.68
Menongue,-14.66,63.37,68,0,4.5
Luena,-11.78,68.27,61,15,3.65
Lubango,-14.92,75.2,41,0,4.7
Longonjo,-12.91,63.61,75,5,3.71
Lobito,-12.35,82.4,78,20,9.17
Huambo,-12.78,63.61,75,5,3.71
Catumbela,-12.43,82.4,78,20,9.17
Catabola,-12.15,69.89,71,48,1.41
Camacupa,-12.02,69.89,71,48,1.41
Caluquembe,-13.78,63.57,63,0,3.85
Caála,-12.85,63.61,75,5,3.71
Benguela,-12.58,82.4,78,20,9.17
Zárate,-34.1,92.57,49,20,8.05
Villa Ocampo,-28.49,91.99,32,0,4.0
Villa Lugano,-34.67,91.69,54,0,5.82
Villaguay,-31.87,97.03,18,0,13.47
Villa Gesell,-37.26,74.5,72,0,20.27
Tigre,-34.43,92.1,49,20,8.05
Tandil,-37.32,93.49,25,0,3.0
San Vicente,-26.62,82.99,57,46,2.62
Santo Tomé,38.02,53.01,55,71,15.01
Santa Elena,-2.23,80.35,78,61,9.73
City of San Pedro,14.35,78.3,74,20,8.05
San Luis del Palmar,-27.51,91.98,33,0,3.36
San Lorenzo,-25.33,93.2,32,40,4.7
San Javier,37.81,57.43,62,75,17.22
